Depmap ID,Expression Public 22Q4,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000044,0.124328135,MDAMB134VI,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000045,0.028569152,MV411,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000046,0.704871964,ACHN,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000048,0.687060688,TOV112D,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000049,0.333423734,HEKTE,Non-Cancerous,Kidney,Non-Cancerous
ACH-000050,0.22650853,NCIH929,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000051,0,TE617T,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000052,0.263034406,A673,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000053,0.084064265,KARPAS299,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000054,0.23878686,HT1080,Fibrosarcoma,Soft Tissue,Fibrosarcoma
ACH-000055,2.589763487,D283MED,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000056,0.028569152,DOHH2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000057,0.028569152,OPM1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000058,3.507160349,ML1,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000059,0.545968369,SUPB15,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000060,0.014355293,PANC1005,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000061,0.014355293,HH,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000062,0.378511623,RERFLCMS,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000063,0.056583528,HS616T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000064,2.550900665,SALE,Non-Cancerous,Lung,Non-Cancerous
ACH-000065,1.887525271,OCIAML5,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000066,0.5360529,HCC4006,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000067,0.35614381,HS683,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000068,0.014355293,REC1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000069,0.669026766,HS611T,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000070,0.150559677,697,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000071,0.201633861,HS706T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000072,0.124328135,MEG01,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000073,1.859969548,GRANTA519,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000074,0.411426246,KU812,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000075,0.028569152,U87MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000076,0.176322773,NCO2,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000077,0,MJ,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000078,2.901108243,MHHNB11,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000079,1.718087584,TE125T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000080,0.321928095,BDCM,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000081,0.056583528,GDM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000082,1.555816155,G292CLONEA141B1,Osteosarcoma,Bone,Osteosarcoma
ACH-000083,0.070389328,HS281T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000084,0,MUTZ3,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000085,0.367371066,T3M4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000086,0.925999419,ACCMESO1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000087,1.839959587,SKES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000088,0.887525271,HS172T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000089,0.070389328,NCIH684,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000090,0,PC3,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000091,0.137503524,OV56,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000092,1.10433666,NCIH2452,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000093,0.163498732,PANC0504,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000094,0.042644337,HPAFII,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000095,0.895302621,D341Med,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000096,0.084064265,G401,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-000097,0.014355293,ZR751,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000098,0.565597176,GAMG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000099,0.042644337,SIMA,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000100,2.032100843,RH41,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000101,0.298658316,KE37,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000102,0.014355293,GMS10,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000103,1.786596362,CAOV4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000104,0.070389328,LOUCY,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000105,0.070389328,ALLSIL,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000106,0.014355293,JVM2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000107,0.111031312,CAPAN2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000108,0.275007047,KP3,Adenosquamous Carcinoma of the Pancreas,Pancreas,Adenosquamous Carcinoma of the Pancreas
ACH-000109,1.182692298,NCIH3255,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000948,0.40053793,2313287,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000111,0.214124805,HCC1187,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000112,0.056583528,SIGM5,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000113,0.454175893,OCIAML2,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000114,1.516015147,SU8686,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000115,0.056583528,VCAP,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000116,0.189033824,OAW28,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000117,0.056583528,EFM192A,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000118,0.056583528,HUPT3,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000119,0.321928095,HS863T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000120,4.168321116,CHP212,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000121,0.163498732,NCIH2405,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000122,2.22650853,SUPT11,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000123,0.070389328,COV434,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000124,0,OCILY19,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000125,0.22650853,TO175T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000126,0.275007047,KG1C,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000127,0,SLR20,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000128,2.039138394,LN319,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000129,0.214124805,NCIH1341,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000130,0,NALM19,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000131,1.286881148,HS229T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000132,0.367371066,JHOS2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000133,0.333423734,HS729,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000134,0.23878686,HS274T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000135,0.056583528,HS940T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000136,3.592158002,CHP126,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000137,0.367371066,8MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000138,0.124328135,CFPAC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000139,0,PANC0327,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000140,0,PFEIFFER,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000141,0.014355293,SNU308,Intracholecystic Papillary Neoplasm,Biliary Tract,Intracholecystic Papillary Neoplasm
ACH-000142,0,CAL29,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000143,0,HCC2429,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000880,2.742006211,AGS,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000145,0.731183242,SKLMS1,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma
ACH-000146,0.495695163,THP1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000147,0,T47D,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000148,0.378511623,HS578T,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000149,3.92314918,SKNSH,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000150,0.042644337,HCC2935,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000151,0.111031312,JM1,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000152,0.014355293,M059K,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000153,0.150559677,NCIH2052,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000154,0.286881148,HS888T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000155,0.150559677,SW1990,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000156,0.565597176,MHHCALL4,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000157,0.422233001,A4FUK,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000158,0,OCILY3,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000159,0.014355293,OSRC2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000160,0.042644337,BT12,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000161,0,CORL105,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000162,0,GA10,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000163,1.963474124,SW579,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000164,0.097610797,PANC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000165,1.678071905,HS751T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000166,0,KASUMI6,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000167,0.150559677,KE97,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000168,0.056583528,NOMO1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000169,2.166715445,RD,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000170,1.416839742,PRECLH,Non-Cancerous,Prostate,Non-Cancerous
ACH-000171,0.137503524,VMRCRCZ,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000172,0,TM87,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000173,0.189033824,JHUEM3,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000174,0.263034406,CAL62,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer
ACH-000175,1.049630768,TE159T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000176,0.622930351,LOUNH91,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000177,0,NCIH660,Prostate Small Cell Carcinoma,Prostate,Prostate Small Cell Carcinoma
ACH-000178,1.244887059,HS766T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000179,1.432959407,NCIH1618,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000180,0.367371066,HS839T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000181,0.042644337,SCC9,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000182,0,SNU869,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma
ACH-000183,0,L363,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000184,0.124328135,HS343T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000185,0.070389328,HS737T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000186,1.510961919,NCIH2444,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000187,4.361768359,CORL311,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000188,0,SCC25,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000189,0.150559677,RCC10RGB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000190,0.150559677,HDMYZ,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000191,0,BHT101,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer
ACH-000192,1.883620816,MFE280,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000193,0.641546029,KARPAS620,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000194,0.59454855,HS934T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000195,0,SET2,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000196,0.443606651,HCC1599,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000197,0,TALL1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000198,0.378511623,EOL1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000199,0,HS255T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000200,0.887525271,NMCG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000201,0.014355293,A204,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000202,2.521050737,COLO320,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000203,3.945794957,NH6,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000204,0.042644337,LP1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000205,0.084064265,PK59,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000206,0,C8166,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000207,0,DETROIT562,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000208,0,U178,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000209,0,SNU1079,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000210,0.014355293,CADOES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000211,1.843983844,DAOY,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000212,0.650764559,CAL120,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000213,0.056583528,HUPT4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000214,0.321928095,HS675T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000215,0.516015147,LN382,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-002446,0.847996907,CCLFUPGI0005T,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000217,0,JHH6,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000218,2.12763328,PL21,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000219,1.765534746,A375,Melanoma,Skin,Melanoma
ACH-000220,0.895302621,MINO,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000221,1.438292852,SNU398,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000222,0.042644337,ASPC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000223,0,HCC1937,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000224,0.23878686,HS819T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000560,0.056583528,ECC10,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000226,0.097610797,SUPM2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000227,2.773996325,KPNYN,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000228,0.042644337,BICR31,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000229,0.084064265,HS822T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000230,0.367371066,HS742T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000231,0.042644337,KALS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000232,0.422233001,U251MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000233,0.014355293,DEL,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000234,0.286881148,CAKI2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000235,0.028569152,PANC0403,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000236,1.316145742,SW1417,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000237,2.855989697,JHOM1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000238,0.070389328,SCC4,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000225,0.201633861,ECC12,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000240,0.604071324,HS600T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000241,0.014355293,JK1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000242,0,RT4,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000243,0.464668267,DANG,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000244,0.35614381,DKMG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000245,0.464668267,BL41,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000246,0.807354922,SLR23,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-001496,0.150559677,ESO26,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000248,0,AU565,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000249,0.575312331,CL11,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000250,0.056583528,KMRC20,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000251,0.367371066,NCIH2887,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000252,0.014355293,LS1034,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000253,0.014355293,COLO201,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000254,0.176322773,SCC15,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-001497,0,ESO51,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000256,2.370164281,COV318,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000257,1.618238656,CORL279,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000258,0,DU4475,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000259,2.201633861,KELLY,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000260,4.025914699,SKNAS,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000261,2.286881148,RERFLCAI,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000262,0,UOK101,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000263,0.604071324,KASUMI1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000264,1.531069493,CALU6,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000265,0.124328135,KP4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000266,0.014355293,SNU213,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
